date,COD,avg_inflow,iso_label,iso_score,iso_anomaly,lstm_error,lstm_anomaly,both,only_if,only_lstm,neither
2016-03-22,720.0,5.401,1,0.07702440269166422,0,0.01162297210761409,0,0,0,0,1
2016-03-23,850.0,4.709,1,0.06999502638106164,0,0.011881149753873199,0,0,0,0,1
2016-03-25,845.96,3.856,1,0.11478207596646506,0,0.011330191458964014,0,0,0,0,1
2016-03-28,680.0,4.057,1,0.09156575893600155,0,0.00943144344351765,0,0,0,0,1
2016-03-29,770.0,4.988,1,0.08533058956422068,0,0.007232010229633002,0,0,0,0,1
2016-03-30,790.0,4.727,1,0.09316287472409401,0,0.0073632145061716114,0,0,0,0,1
2016-03-31,880.0,4.581,1,0.11090222919316661,0,0.006440961836994364,0,0,0,0,1
2016-04-03,680.0,4.441,1,0.0974287701215732,0,0.007212123709056219,0,0,0,0,1
2016-04-04,760.0,4.637,1,0.0692397968132274,0,0.009199041803093902,0,0,0,0,1
2016-04-05,880.0,4.653,1,0.050085968469859354,0,0.010684656395355865,0,0,0,0,1
2016-04-06,690.0,4.701,1,0.043374403806618056,0,0.011535242253369948,0,0,0,0,1
2016-04-07,730.0,4.49,1,0.09848641405035591,0,0.011772201952608936,0,0,0,0,1
2016-04-10,750.0,4.569,1,0.10775900171668373,0,0.011012432348204954,0,0,0,0,1
2016-04-11,910.0,4.397,1,0.04910030639475871,0,0.012889194784001948,0,0,0,0,1
2016-04-12,940.0,4.4,1,0.07659425450452806,0,0.013547957335123968,0,0,0,0,1
2016-04-13,840.0,4.357,1,0.05828312737029773,0,0.01340711326420518,0,0,0,0,1
2016-04-14,750.0,4.381,1,0.10787997567601298,0,0.012825477421272295,0,0,0,0,1
2016-04-17,700.0,4.045,1,0.11113865253357846,0,0.009905408974096386,0,0,0,0,1
2016-04-18,690.0,5.696,1,0.08127984024316326,0,0.010943840194064896,0,0,0,0,1
2016-04-19,1000.0,5.632,1,0.06034663723322464,0,0.013443453251938988,0,0,0,0,1
2016-04-20,930.0,5.15,1,0.027903256112254915,0,0.013809069290778667,0,0,0,0,1
2016-04-21,850.0,5.744,1,0.05107185791725588,0,0.014272673138543995,0,0,0,0,1
2016-04-22,845.96,4.761,1,0.08121349629858243,0,0.012093995725675818,0,0,0,0,1
2016-04-25,630.0,4.388,1,0.1032530669545767,0,0.01228567452081783,0,0,0,0,1
2016-04-26,780.0,4.505,1,0.05854641621118373,0,0.012859659827621743,0,0,0,0,1
2016-04-27,900.0,4.625,1,0.049968439748132365,0,0.014866621007200643,0,0,0,0,1
2016-04-28,650.0,4.566,1,0.04030308938939714,0,0.017935167275742313,0,0,0,0,1
2016-05-01,850.0,5.881,1,0.046301328742076375,0,0.018493441333277856,0,0,0,0,1
2016-05-02,960.0,7.364,1,0.05176040765003265,0,0.01691649638613879,0,0,0,0,1
2016-05-03,1300.0,7.966,1,0.05807167054257922,0,0.017578825020883863,0,0,0,0,1
2016-05-04,900.0,4.936,1,0.059462023720616985,0,0.01954175236772372,0,0,0,0,1
2016-05-05,1000.0,4.722,1,0.06768138295077519,0,0.02053757946983122,0,0,0,0,1
2016-05-08,790.0,5.984,-1,-0.03949570575352368,1,0.027269297426668594,1,1,0,0,0
2016-05-09,820.0,6.088,1,0.050323725391381136,0,0.024766978031397876,1,0,0,1,0
2016-05-10,930.0,5.117,1,0.07900268792373194,0,0.023102180509491387,1,0,0,1,0
2016-05-11,710.0,4.598,1,0.10754464429810828,0,0.022711197298524905,1,0,0,1,0
2016-05-12,890.0,5.164,1,0.10875448923967534,0,0.022276854174203223,1,0,0,1,0
2016-05-15,660.0,4.365,1,0.1044305659147644,0,0.02287363015784658,1,0,0,1,0
2016-05-16,900.0,4.53,1,0.0738928288691566,0,0.023668145328316296,1,0,0,1,0
2016-05-17,900.0,5.055,1,0.07860324253273765,0,0.014881400828014176,0,0,0,0,1
2016-05-18,1100.0,4.041,1,0.0625095405584597,0,0.013683712884206608,0,0,0,0,1
2016-05-19,1000.0,5.546,1,0.03480610891255831,0,0.015001212698732756,0,0,0,0,1
2016-05-22,910.0,4.332,1,0.032073020370799565,0,0.018267362297162353,0,0,0,0,1
2016-05-23,970.0,4.555,1,0.0723849157480062,0,0.019633304524660996,0,0,0,0,1
2016-05-24,970.0,4.801,1,0.08548993779893072,0,0.020875319993776658,0,0,0,0,1
2016-05-25,880.0,5.079,1,0.06741734999927268,0,0.02145043053279318,0,0,0,0,1
2016-05-26,690.0,4.992,1,0.09261472171667229,0,0.02159308366571713,0,0,0,0,1
2016-05-29,660.0,4.869,1,0.09068803974417294,0,0.02145915311575673,0,0,0,0,1
2016-05-30,800.0,4.804,1,0.08512706398204811,0,0.019047384272272958,0,0,0,0,1
2016-05-31,960.0,6.063,1,0.08403919744600924,0,0.017618974025333935,0,0,0,0,1
2016-06-01,790.0,4.554,1,0.08625550901668289,0,0.016370574553392463,0,0,0,0,1
2016-06-02,840.0,4.832,1,0.0680863444267894,0,0.01595265593405276,0,0,0,0,1
2016-06-05,700.0,7.225,1,0.050002177815411775,0,0.012660920930573293,0,0,0,0,1
2016-06-06,850.0,5.845,1,0.06488014036855744,0,0.012088009005103427,0,0,0,0,1
2016-06-07,820.0,5.065,1,0.08614825623831374,0,0.012271859383504283,0,0,0,0,1
2016-06-08,740.0,4.842,1,0.010461108274362307,0,0.017037705824297374,0,0,0,0,1
2016-06-09,840.0,4.815,1,0.10897071715719064,0,0.017349339502579803,0,0,0,0,1
2016-06-10,845.96,5.092,1,0.08025653331659027,0,0.01791181976751573,0,0,0,0,1
2016-06-13,740.0,5.237,1,0.07193117549855699,0,0.017313612387826277,0,0,0,0,1
2016-06-14,740.0,4.962,1,0.11558642870896196,0,0.015633236357399494,0,0,0,0,1
2016-06-15,800.0,4.832,1,0.06758626616169344,0,0.016191392264202954,0,0,0,0,1
2016-06-16,910.0,4.632,1,0.0626981925667725,0,0.015246010158766334,0,0,0,0,1
2016-06-19,750.0,5.185,1,0.026111572881300282,0,0.013429422114118088,0,0,0,0,1
2016-06-20,1000.0,4.776,1,0.04544038003231904,0,0.016139128429036014,0,0,0,0,1
2016-06-21,710.0,3.885,1,0.10009519859991811,0,0.015540268276546818,0,0,0,0,1
2016-06-22,740.0,4.249,1,0.09394826560278235,0,0.015289524760998001,0,0,0,0,1
2016-06-23,600.0,4.348,1,0.040340770247817404,0,0.017732028019637087,0,0,0,0,1
2016-06-26,680.0,4.006,1,0.0889983369507315,0,0.01753695254136725,0,0,0,0,1
2016-06-27,820.0,3.873,1,0.10224561877630978,0,0.014977732993401984,0,0,0,0,1
2016-06-28,780.0,4.152,1,0.11753666606899876,0,0.012471096445571886,0,0,0,0,1
2016-06-29,920.0,4.141,1,0.10944667241132144,0,0.009282546099452907,0,0,0,0,1
2016-06-30,880.0,3.897,1,0.09261959886060123,0,0.009323559004864198,0,0,0,0,1
2016-07-03,690.0,3.652,1,0.12892708413288012,0,0.009972477980221234,0,0,0,0,1
2016-07-04,845.96,3.768,1,0.10598998651039354,0,0.009031286044361316,0,0,0,0,1
2016-07-05,810.0,4.219,1,0.06550468639328128,0,0.010432108701977824,0,0,0,0,1
2016-07-06,570.0,4.551,1,0.04613057629832207,0,0.011121289389065812,0,0,0,0,1
2016-07-07,670.0,3.944,1,0.01446705198017506,0,0.012231787631533375,0,0,0,0,1
2016-07-10,750.0,4.036,1,0.08068105133813769,0,0.013972769237970516,0,0,0,0,1
2016-07-11,790.0,3.687,1,0.11824295964258025,0,0.012360066083012754,0,0,0,0,1
2016-07-12,710.0,4.07,1,0.09437103811814224,0,0.013761392704593162,0,0,0,0,1
2016-07-13,790.0,4.127,1,0.10632235970870363,0,0.013740576893378265,0,0,0,0,1
2016-07-14,760.0,4.06,1,0.12779820784344398,0,0.012247238656228251,0,0,0,0,1
2016-07-17,770.0,3.676,1,0.10306035685620385,0,0.012668468032841265,0,0,0,0,1
2016-07-18,740.0,3.576,1,0.12019292528462677,0,0.01075966909301689,0,0,0,0,1
2016-07-19,820.0,5.543,1,0.07275562699067273,0,0.010539718332619422,0,0,0,0,1
2016-07-20,800.0,4.226,1,0.06217557788136441,0,0.0122382597472761,0,0,0,0,1
2016-07-21,840.0,3.847,1,0.08425269946063119,0,0.014011638738595495,0,0,0,0,1
2016-07-24,600.0,4.916,1,0.0869854049003922,0,0.014749997641692842,0,0,0,0,1
2016-07-25,680.0,4.503,1,0.0688878589896037,0,0.01631202177753955,0,0,0,0,1
2016-07-26,690.0,3.919,1,0.0693740496274452,0,0.014753997578661736,0,0,0,0,1
2016-07-27,660.0,4.544,1,0.11126806521653254,0,0.013619761922974424,0,0,0,0,1
2016-07-28,970.0,4.431,1,0.10939115738450855,0,0.01270219478301227,0,0,0,0,1
2016-07-31,660.0,4.551,1,0.09368317846296464,0,0.011238897658714405,0,0,0,0,1
2016-08-01,660.0,10.731,1,0.017421232424746025,0,0.010685513602672836,0,0,0,0,1
2016-08-02,470.0,8.471,1,0.028555804949901564,0,0.012144405927454483,0,0,0,0,1
2016-08-03,620.0,5.107,-1,-0.03456655601476799,1,0.013699741293069044,0,0,1,0,0
2016-08-04,650.0,5.408,1,0.038161389021391434,0,0.013833702339964088,0,0,0,0,1
2016-08-07,770.0,4.904,1,0.08351934731180838,0,0.013648392713829931,0,0,0,0,1
2016-08-08,740.0,4.789,1,0.06483628865043128,0,0.014601573070172427,0,0,0,0,1
2016-08-09,870.0,4.438,1,0.07721725336816831,0,0.014297351405245464,0,0,0,0,1
2016-08-10,950.0,5.34,1,0.09089049761957024,0,0.012077476848891114,0,0,0,0,1
2016-08-11,650.0,5.978,1,0.06718908117336209,0,0.011450096489527673,0,0,0,0,1
2016-08-14,800.0,5.732,1,0.08899125029648708,0,0.009453238834257508,0,0,0,0,1
2016-08-15,760.0,4.552,1,0.11765176194734361,0,0.008123936226632706,0,0,0,0,1
2016-08-16,760.0,3.889,1,0.11592340400189322,0,0.008247264928784281,0,0,0,0,1
2016-08-17,890.0,4.01,1,0.1015237853087842,0,0.006807687809662953,0,0,0,0,1
2016-08-18,880.0,4.008,1,0.06825698127183794,0,0.007905398237825798,0,0,0,0,1
2016-08-21,660.0,4.521,1,0.11547283826512683,0,0.0076763014486362245,0,0,0,0,1
2016-08-22,600.0,13.713,-1,-0.007971408968376226,1,0.010913721687153486,0,0,1,0,0
2016-08-23,870.0,14.488,-1,-0.058515469847814305,1,0.016445764022549075,0,0,1,0,0
2016-08-24,690.0,6.587,1,0.0035070735702236178,0,0.019139584333673583,0,0,0,0,1
2016-08-25,770.0,5.664,1,0.01931639783662148,0,0.021222250882755263,0,0,0,0,1
2016-08-28,760.0,4.992,1,0.025814389282010852,0,0.021997610988222217,0,0,0,0,1
2016-08-29,800.0,5.535,1,0.03399687687631758,0,0.021397690266392707,0,0,0,0,1
2016-08-30,860.0,5.716,1,0.0355101172102632,0,0.02315232955832771,1,0,0,1,0
2016-08-31,860.0,5.638,1,0.06487817713008676,0,0.020803075071891275,0,0,0,0,1
2016-09-01,800.0,5.25,1,0.0654949015248254,0,0.017204623195256345,0,0,0,0,1
2016-09-04,770.0,5.204,1,0.08594763410168466,0,0.015298847553212666,0,0,0,0,1
2016-09-05,780.0,5.404,1,0.08621293982834966,0,0.013657889216581233,0,0,0,0,1
2016-09-06,800.0,5.208,1,0.06871703617641117,0,0.012777807764295301,0,0,0,0,1
2016-09-07,840.0,5.846,1,0.06463398425026406,0,0.011371448105223352,0,0,0,0,1
2016-09-08,820.0,4.625,1,0.07839099434801877,0,0.009297774581030791,0,0,0,0,1
2016-09-11,650.0,7.657,1,0.03738627217466378,0,0.00923801374716022,0,0,0,0,1
2016-09-12,690.0,5.551,1,0.051024590011373605,0,0.00906119016965133,0,0,0,0,1
2016-09-13,650.0,4.537,1,0.04032764587929627,0,0.010303068827044183,0,0,0,0,1
2016-09-14,550.0,4.565,1,0.04078528904530049,0,0.010836382927889942,0,0,0,0,1
2016-09-15,450.0,5.328,1,0.010212243311020108,0,0.011206209898454793,0,0,0,0,1
2016-09-18,650.0,5.04,1,0.047980972170396596,0,0.01192324561021729,0,0,0,0,1
2016-09-19,1000.0,4.044,1,0.08113500386557154,0,0.0114325409601334,0,0,0,0,1
2016-09-20,760.0,4.338,1,0.08091617715455057,0,0.010794035811975564,0,0,0,0,1
2016-09-21,720.0,4.346,1,0.0908897782602553,0,0.009700773460359847,0,0,0,0,1
2016-09-22,740.0,5.407,1,0.06774688333779083,0,0.008430490576657679,0,0,0,0,1
2016-09-25,670.0,4.518,1,0.10366591414787824,0,0.007545374521212769,0,0,0,0,1
2016-09-26,720.0,4.744,1,0.08899433294278247,0,0.0063096389903462766,0,0,0,0,1
2016-09-27,590.0,6.917,1,0.03163225704725209,0,0.006205517593523721,0,0,0,0,1
2016-09-28,740.0,5.593,1,0.048188937955802036,0,0.006781279761203794,0,0,0,0,1
2016-09-30,845.96,9.607,1,0.01220472616774948,0,0.008630426829921479,0,0,0,0,1
2016-10-02,610.0,8.68,-1,-0.017349883528378962,1,0.011082266108364212,0,0,1,0,0
2016-10-03,490.0,5.525,1,0.020549310483023164,0,0.011718093876007396,0,0,0,0,1
2016-10-04,570.0,4.694,-1,-0.043446112777997925,1,0.01572087883121878,0,0,1,0,0
2016-10-05,650.0,7.046,1,0.023232348667597713,0,0.01790572168343017,0,0,0,0,1
2016-10-06,730.0,9.256,-1,-0.003184967834310326,1,0.019804908370753722,0,0,1,0,0
2016-10-09,590.0,5.804,-1,-0.03316931312723115,1,0.024659171778224038,1,1,0,0,0
2016-10-10,660.0,5.019,1,0.0038544513750842224,0,0.025065808903709193,1,0,0,1,0
2016-10-11,560.0,4.973,1,0.03361599399861748,0,0.023689412593124494,1,0,0,1,0
2016-10-12,750.0,5.239,1,0.0668345269998637,0,0.023292619162636502,1,0,0,1,0
2016-10-13,760.0,5.492,1,0.07027260947907504,0,0.019517743236348688,0,0,0,0,1
2016-10-16,620.0,10.38,-1,-0.027593915580986228,1,0.019470067429429715,0,0,1,0,0
2016-10-17,590.0,6.998,-1,-0.009066708903994858,1,0.019448780018237875,0,0,1,0,0
2016-10-18,690.0,4.929,1,0.037591775632792146,0,0.014822114694616613,0,0,0,0,1
2016-10-19,730.0,6.338,1,0.01281956409840268,0,0.013370393313563383,0,0,0,0,1
2016-10-20,770.0,5.326,1,0.010556238914482097,0,0.015103548568418331,0,0,0,0,1
2016-10-23,660.0,4.253,1,0.06219432484073334,0,0.015016299110520064,0,0,0,0,1
2016-10-24,670.0,4.601,1,0.063170552425175,0,0.015067380642998179,0,0,0,0,1
2016-10-25,780.0,5.071,1,0.03599242102141731,0,0.013704843032679409,0,0,0,0,1
